Date,Open,High,Low,Close,Adj Close,Volume,Year
8/16/2016,62.889999,62.990002,62.41,62.599998,62.149307,7191300,2016
8/17/2016,62.599998,62.740002,60.66,61.150002,60.709747,14880300,2016
8/18/2016,61.060001,62.200001,60.82,62.099998,61.652905,8292100,2016
8/19/2016,62.07,62.73,61.799999,62.259998,61.811752,7289000,2016
8/22/2016,62.450001,62.610001,61.709999,62.52,62.069885,6118700,2016
8/23/2016,63.040001,63.32,62.73,62.91,62.57217,8494100,2016
8/24/2016,63.130001,63.16,61.650002,61.939999,61.607376,7461200,2016
8/25/2016,61.959999,61.990002,60.759998,61.529999,61.199585,10150800,2016
8/26/2016,61.689999,62.380001,61.200001,62.029999,61.696896,7500600,2016
8/29/2016,62.279999,62.529999,61.889999,61.990002,61.657116,6848800,2016
8/30/2016,61.91,62.240002,61.459999,61.630001,61.299049,7138600,2016
8/31/2016,61.75,61.919998,61.16,61.34,61.010597,9713600,2016
9/1/2016,61.389999,63.380001,61.34,63.150002,62.810879,10712300,2016
9/2/2016,63.279999,63.349998,61.82,62.529999,62.194214,8078700,2016
9/6/2016,62.75,63.119999,62.43,63.119999,62.781044,7670300,2016
9/7/2016,62.919998,63.23,61.830002,62.189999,61.856033,9949700,2016
9/8/2016,62.130001,62.740002,61.419998,62.639999,62.303623,7872500,2016
9/9/2016,61.950001,62.299999,59,59.52,59.200378,17444000,2016
9/12/2016,58.73,60.869999,57.32,60.75,60.423771,14956500,2016
9/13/2016,60.599998,61.299999,59.529999,59.869999,59.5485,11794200,2016
9/14/2016,60.009998,60.599998,59.509998,60.400002,60.075653,7976200,2016
9/15/2016,60.5,62.759998,60.360001,62.689999,62.353352,12880300,2016
9/16/2016,62.91,63.25,62.119999,62.84,62.502552,22561100,2016
9/19/2016,63.5,65.260002,63.209999,63.669998,63.328083,10407000,2016
9/20/2016,64.400002,64.400002,62.740002,63.09,62.751205,8277800,2016
9/21/2016,63.279999,64.980003,63.27,64.860001,64.511696,8405300,2016
9/22/2016,65.239998,65.440002,64.650002,65.019997,64.670845,7718300,2016
9/23/2016,65.099998,65.290001,64.660004,64.949997,64.601212,6903300,2016
9/26/2016,64.209999,64.599998,63.529999,64.339996,63.994488,5751000,2016
9/27/2016,64.089996,66.639999,64.059998,66.540001,66.182678,10068800,2016
9/28/2016,66.639999,66.830002,65.93,66.779999,66.421387,7994700,2016
9/29/2016,66.669998,67.610001,66.050003,67.400002,67.038055,8417100,2016
9/30/2016,67.769997,69.190002,67.370003,68.519997,68.152046,10748300,2016
10/3/2016,68.519997,69.510002,68.330002,68.449997,68.08242,6064900,2016
10/4/2016,68.550003,69.699997,67.790001,68.300003,67.933228,7040600,2016
10/5/2016,68.879997,69.580002,68.019997,68.230003,67.863609,7636000,2016
10/6/2016,67.410004,67.830002,66.260002,67.339996,66.978371,9005300,2016
10/7/2016,67.790001,67.970001,66.660004,66.849998,66.491013,7156500,2016
10/10/2016,67.199997,67.559998,66.470001,67.099998,66.739662,7183200,2016
10/11/2016,66.879997,66.980003,65.620003,66.129997,65.774872,9713500,2016
10/12/2016,65.860001,66.779999,65.309998,66.43,66.073265,10498000,2016
10/13/2016,65.650002,65.800003,63.700001,65.349998,64.999069,9752900,2016
10/14/2016,66.150002,66.599998,65.599998,65.989998,65.635628,8265900,2016
10/17/2016,65.980003,66.599998,65.519997,65.610001,65.257668,4883200,2016
10/18/2016,66.519997,66.989998,66.25,66.610001,66.252304,6713500,2016
10/19/2016,66.160004,66.779999,65.82,66.470001,66.11306,4976500,2016
10/20/2016,67.25,67.949997,66.300003,67.730003,67.366295,7802100,2016
10/21/2016,67.489998,67.660004,66.900002,67.540001,67.177307,6987700,2016
10/24/2016,68,70.790001,67.989998,70.709999,70.330276,8495900,2016
10/25/2016,70.589996,72.300003,70.25,71.870003,71.484055,9936500,2016
10/26/2016,71.269997,72.949997,71.199997,72.160004,71.772507,8344800,2016
